day,date,daily,line,type,number
Wednesday,2012-12-12,NA,purple,Average,5032.5
Thursday,2012-12-13,NA,purple,Average,5165
Friday,2012-12-14,NA,purple,Average,4988.5
Saturday,2012-12-15,NA,purple,Average,4033.5
Sunday,2012-12-16,NA,purple,Average,2481
Monday,2012-12-17,NA,purple,Average,4927
Tuesday,2012-12-18,NA,purple,Average,5203
Wednesday,2012-12-19,NA,purple,Average,4855.5
Thursday,2012-12-20,NA,purple,Average,4814
Friday,2012-12-21,NA,purple,Average,5477
Saturday,2012-12-22,NA,purple,Average,2568
Sunday,2012-12-23,NA,purple,Average,1970.5
Monday,2012-12-24,NA,purple,Average,2057.5
Tuesday,2012-12-25,NA,purple,Average,NA
Wednesday,2012-12-26,NA,purple,Average,2712
Thursday,2012-12-27,NA,purple,Average,3417.5
Friday,2012-12-28,NA,purple,Average,4326.5
Saturday,2012-12-29,NA,purple,Average,2536.5
Sunday,2012-12-30,NA,purple,Average,2169
Monday,2012-12-31,NA,purple,Average,4935.5
Tuesday,2013-01-01,NA,purple,Average,1880.5
Wednesday,2013-01-02,NA,purple,Average,4304.5
Thursday,2013-01-03,NA,purple,Average,4374.5
Friday,2013-01-04,NA,purple,Average,4894.5
Saturday,2013-01-05,NA,purple,Average,3057
Sunday,2013-01-06,NA,purple,Average,2024
Monday,2013-01-07,NA,purple,Average,5074
Tuesday,2013-01-08,NA,purple,Average,4294.5
Wednesday,2013-01-09,NA,purple,Average,4364.5
Thursday,2013-01-10,NA,purple,Average,3568
Friday,2013-01-11,NA,purple,Average,4779
Saturday,2013-01-12,NA,purple,Average,3753.5
Sunday,2013-01-13,NA,purple,Average,2040.5
Monday,2013-01-14,NA,purple,Average,4348
Tuesday,2013-01-15,NA,purple,Average,4570
Wednesday,2013-01-16,NA,purple,Average,4303
Thursday,2013-01-17,NA,purple,Average,4516.5
Friday,2013-01-18,NA,purple,Average,5295
Saturday,2013-01-19,NA,purple,Average,3104.5
Sunday,2013-01-20,NA,purple,Average,2809
Monday,2013-01-21,NA,purple,Average,2824
Tuesday,2013-01-22,NA,purple,Average,4028.5
Wednesday,2013-01-23,NA,purple,Average,4115.5
Thursday,2013-01-24,NA,purple,Average,4200
Friday,2013-01-25,NA,purple,Average,5077.5
Saturday,2013-01-26,NA,purple,Average,3819.5
Sunday,2013-01-27,NA,purple,Average,2253.5
Monday,2013-01-28,NA,purple,Average,4446.5
Tuesday,2013-01-29,NA,purple,Average,5147
Wednesday,2013-01-30,NA,purple,Average,4494.5
Thursday,2013-01-31,NA,purple,Average,4429.5
Friday,2013-02-01,NA,purple,Average,5342.5
Saturday,2013-02-02,NA,purple,Average,3528
Sunday,2013-02-03,NA,purple,Average,2220
Monday,2013-02-04,NA,purple,Average,4046
Tuesday,2013-02-05,NA,purple,Average,4124.5
Wednesday,2013-02-06,NA,purple,Average,4222.5
Thursday,2013-02-07,NA,purple,Average,4716.5
Friday,2013-02-08,NA,purple,Average,5775
Saturday,2013-02-09,NA,purple,Average,3626
Sunday,2013-02-10,NA,purple,Average,2548
Monday,2013-02-11,NA,purple,Average,4878.5
Tuesday,2013-02-12,NA,purple,Average,4316
Wednesday,2013-02-13,NA,purple,Average,4914
Thursday,2013-02-14,NA,purple,Average,5026.5
Friday,2013-02-15,NA,purple,Average,5699.5
Saturday,2013-02-16,NA,purple,Average,2763
Sunday,2013-02-17,NA,purple,Average,2106.5
Monday,2013-02-18,NA,purple,Average,3357
Tuesday,2013-02-19,NA,purple,Average,4405.5
Wednesday,2013-02-20,NA,purple,Average,4572.5
Thursday,2013-02-21,NA,purple,Average,4671.5
Friday,2013-02-22,NA,purple,Average,4173.5
Saturday,2013-02-23,NA,purple,Average,2652.5
Sunday,2013-02-24,NA,purple,Average,2288.5
Monday,2013-02-25,NA,purple,Average,5027
Tuesday,2013-02-26,NA,purple,Average,4890
Wednesday,2013-02-27,NA,purple,Average,4730.5
Thursday,2013-02-28,NA,purple,Average,4658
Friday,2013-03-01,NA,purple,Average,5252.5
Monday,2010-01-11,952,green,Boardings,NA
Tuesday,2010-01-12,796,green,Boardings,NA
Wednesday,2010-01-13,1211.5,green,Boardings,NA
Thursday,2010-01-14,1213.5,green,Boardings,NA
Friday,2010-01-15,1644,green,Boardings,NA
Saturday,2010-01-16,1490.5,green,Boardings,NA
Sunday,2010-01-17,888.5,green,Boardings,NA
Monday,2010-01-18,999.5,green,Boardings,NA
Tuesday,2010-01-19,1035,green,Boardings,NA
Wednesday,2010-01-20,1395.5,green,Boardings,NA
Thursday,2010-01-21,1305,green,Boardings,NA
Friday,2010-01-22,1394.5,green,Boardings,NA
Saturday,2010-01-23,1206,green,Boardings,NA
Sunday,2010-01-24,713,green,Boardings,NA
Monday,2010-01-25,1295,green,Boardings,NA
Tuesday,2010-01-26,1429.5,green,Boardings,NA
Wednesday,2010-01-27,1288.5,green,Boardings,NA
Thursday,2010-01-28,1239,green,Boardings,NA
Friday,2010-01-29,1332,green,Boardings,NA
Saturday,2010-01-30,581.5,green,Boardings,NA
Sunday,2010-01-31,683.5,green,Boardings,NA
Monday,2010-02-01,1395.5,green,Boardings,NA
Tuesday,2010-02-02,1436.5,green,Boardings,NA
Wednesday,2010-02-03,1368,green,Boardings,NA
Thursday,2010-02-04,1339.5,green,Boardings,NA
Friday,2010-02-05,1217.5,green,Boardings,NA
Saturday,2010-02-06,0,green,Boardings,NA
Sunday,2010-02-07,0,green,Boardings,NA
Monday,2010-02-08,284,green,Boardings,NA
Tuesday,2010-02-09,849.5,green,Boardings,NA
Wednesday,2010-02-10,0,green,Boardings,NA
Thursday,2010-02-11,0,green,Boardings,NA
Friday,2010-02-12,671,green,Boardings,NA
Saturday,2010-02-13,700.5,green,Boardings,NA
Sunday,2010-02-14,543.5,green,Boardings,NA
Monday,2010-02-15,751.5,green,Boardings,NA
Tuesday,2010-02-16,791,green,Boardings,NA
Wednesday,2010-02-17,993.5,green,Boardings,NA
Thursday,2010-02-18,1126,green,Boardings,NA
Friday,2010-02-19,1642,green,Boardings,NA
Saturday,2010-02-20,893.5,green,Boardings,NA
Sunday,2010-02-21,739,green,Boardings,NA
Monday,2010-02-22,997.5,green,Boardings,NA
Tuesday,2010-02-23,998,green,Boardings,NA
Wednesday,2010-02-24,1219,green,Boardings,NA
Thursday,2010-02-25,1429.5,green,Boardings,NA
Friday,2010-02-26,1328.5,green,Boardings,NA
Saturday,2010-02-27,1252.5,green,Boardings,NA
Sunday,2010-02-28,955.5,green,Boardings,NA
Monday,2010-03-01,1511,green,Boardings,NA
Tuesday,2010-03-02,1498.5,green,Boardings,NA
Wednesday,2010-03-03,1464.5,green,Boardings,NA
Thursday,2010-03-04,1697.5,green,Boardings,NA
Friday,2010-03-05,1905.5,green,Boardings,NA
Saturday,2010-03-06,1369,green,Boardings,NA
Sunday,2010-03-07,1114.5,green,Boardings,NA
Monday,2010-03-08,1516,green,Boardings,NA
Tuesday,2010-03-09,1727.5,green,Boardings,NA
Wednesday,2010-03-10,1672,green,Boardings,NA
Thursday,2010-03-11,1711.5,green,Boardings,NA
Friday,2010-03-12,1644,green,Boardings,NA
Saturday,2010-03-13,952.5,green,Boardings,NA
Sunday,2010-03-14,716.5,green,Boardings,NA
Monday,2010-03-15,1588,green,Boardings,NA
Tuesday,2010-03-16,1601,green,Boardings,NA
Wednesday,2010-03-17,1710.5,green,Boardings,NA
Thursday,2010-03-18,1949,green,Boardings,NA
Friday,2010-03-19,2204.5,green,Boardings,NA
Saturday,2010-03-20,1945.5,green,Boardings,NA
Sunday,2010-03-21,1634,green,Boardings,NA
Monday,2010-03-22,1413,green,Boardings,NA
Tuesday,2010-03-23,1458,green,Boardings,NA
Wednesday,2010-03-24,1350,green,Boardings,NA
Thursday,2010-03-25,1448,green,Boardings,NA
Friday,2010-03-26,1710.5,green,Boardings,NA
Saturday,2010-03-27,1561,green,Boardings,NA
Sunday,2010-03-28,1086.5,green,Boardings,NA
Monday,2010-03-29,1790.5,green,Boardings,NA
Tuesday,2010-03-30,1474,green,Boardings,NA
Wednesday,2010-03-31,1719,green,Boardings,NA
Thursday,2010-04-01,1939.5,green,Boardings,NA
Friday,2010-04-02,2029,green,Boardings,NA
Saturday,2010-04-03,1836,green,Boardings,NA
Sunday,2010-04-04,1053,green,Boardings,NA
Monday,2010-04-05,1875.5,green,Boardings,NA
Tuesday,2010-04-06,1776,green,Boardings,NA
Wednesday,2010-04-07,1498.5,green,Boardings,NA
Thursday,2010-04-08,1764,green,Boardings,NA
Friday,2010-04-09,2399,green,Boardings,NA
Saturday,2010-04-10,1801,green,Boardings,NA
Sunday,2010-04-11,1231.5,green,Boardings,NA
Monday,2010-04-12,1711.5,green,Boardings,NA
Tuesday,2010-04-13,1643,green,Boardings,NA
Wednesday,2010-04-14,1933,green,Boardings,NA
Thursday,2010-04-15,1793.5,green,Boardings,NA
Friday,2010-04-16,2191,green,Boardings,NA
Saturday,2010-04-17,1886,green,Boardings,NA
Sunday,2010-04-18,1150.5,green,Boardings,NA
Monday,2010-04-19,1818.5,green,Boardings,NA
Tuesday,2010-04-20,1797,green,Boardings,NA
Wednesday,2010-04-21,1661.5,green,Boardings,NA
Thursday,2010-04-22,1879,green,Boardings,NA
Friday,2010-04-23,2132,green,Boardings,NA
Saturday,2010-04-24,1613,green,Boardings,NA
Sunday,2010-04-25,1058.5,green,Boardings,NA
Monday,2010-04-26,1616,green,Boardings,NA
Tuesday,2010-04-27,1847,green,Boardings,NA
Wednesday,2010-04-28,1728.5,green,Boardings,NA
Thursday,2010-04-29,1746.5,green,Boardings,NA
Friday,2010-04-30,2223,green,Boardings,NA
Saturday,2010-05-01,2415,green,Boardings,NA
Sunday,2010-05-02,1172.5,green,Boardings,NA
Monday,2010-05-03,1616,green,Boardings,NA
Tuesday,2010-05-04,1649.5,green,Boardings,NA
Wednesday,2010-05-05,1705,green,Boardings,NA
Thursday,2010-05-06,1826.5,green,Boardings,NA
Friday,2010-05-07,2217,green,Boardings,NA
Saturday,2010-05-08,1818,green,Boardings,NA
Sunday,2010-05-09,991,green,Boardings,NA
Monday,2010-05-10,1728,green,Boardings,NA
Tuesday,2010-05-11,1664.5,green,Boardings,NA
Wednesday,2010-05-12,1861,green,Boardings,NA
Thursday,2010-05-13,1840.5,green,Boardings,NA
Friday,2010-05-14,2536,green,Boardings,NA
Saturday,2010-05-15,1998,green,Boardings,NA
Sunday,2010-05-16,1056,green,Boardings,NA
Monday,2010-05-17,1932.5,green,Boardings,NA
Tuesday,2010-05-18,1622,green,Boardings,NA
Wednesday,2010-05-19,1822,green,Boardings,NA
Thursday,2010-05-20,2153,green,Boardings,NA
Friday,2010-05-21,2541,green,Boardings,NA
Saturday,2010-05-22,1549,green,Boardings,NA
Sunday,2010-05-23,1018,green,Boardings,NA
Monday,2010-05-24,1660,green,Boardings,NA
Tuesday,2010-05-25,1758,green,Boardings,NA
Wednesday,2010-05-26,2077.5,green,Boardings,NA
Thursday,2010-05-27,2190,green,Boardings,NA
Friday,2010-05-28,2249,green,Boardings,NA
Saturday,2010-05-29,1722.5,green,Boardings,NA
Sunday,2010-05-30,1370.5,green,Boardings,NA
Monday,2010-05-31,1466.5,green,Boardings,NA
Tuesday,2010-06-01,1912,green,Boardings,NA
Wednesday,2010-06-02,1846,green,Boardings,NA
Thursday,2010-06-03,2042.5,green,Boardings,NA
Friday,2010-06-04,2024.5,green,Boardings,NA
Saturday,2010-06-05,1842.5,green,Boardings,NA
Sunday,2010-06-06,965,green,Boardings,NA
Monday,2010-06-07,3072.5,green,Boardings,NA
Tuesday,2010-06-08,3681,green,Boardings,NA
Wednesday,2010-06-09,3368,green,Boardings,NA
Thursday,2010-06-10,4146.5,green,Boardings,NA
Friday,2010-06-11,5213,green,Boardings,NA
Saturday,2010-06-12,4143,green,Boardings,NA
Sunday,2010-06-13,2698,green,Boardings,NA
Monday,2010-06-14,4047.5,green,Boardings,NA
Tuesday,2010-06-15,4036.5,green,Boardings,NA
Wednesday,2010-06-16,3363,green,Boardings,NA
Thursday,2010-06-17,3655,green,Boardings,NA
Friday,2010-06-18,4199,green,Boardings,NA
Saturday,2010-06-19,3848,green,Boardings,NA
Sunday,2010-06-20,2681.5,green,Boardings,NA
Monday,2010-06-21,3759,green,Boardings,NA
Tuesday,2010-06-22,4298,green,Boardings,NA
Wednesday,2010-06-23,4660,green,Boardings,NA
Thursday,2010-06-24,4596,green,Boardings,NA
Friday,2010-06-25,6117.5,green,Boardings,NA
Saturday,2010-06-26,4447,green,Boardings,NA
Sunday,2010-06-27,3104,green,Boardings,NA
Monday,2010-06-28,4237,green,Boardings,NA
Tuesday,2010-06-29,4403.5,green,Boardings,NA
Wednesday,2010-06-30,3963.5,green,Boardings,NA
Thursday,2010-07-01,4978.5,green,Boardings,NA
Friday,2010-07-02,5516,green,Boardings,NA
Saturday,2010-07-03,4996,green,Boardings,NA
Sunday,2010-07-04,4080,green,Boardings,NA
Monday,2010-07-05,3618,green,Boardings,NA
Tuesday,2010-07-06,4415.5,green,Boardings,NA
Wednesday,2010-07-07,4937.5,green,Boardings,NA
Thursday,2010-07-08,5354,green,Boardings,NA
Friday,2010-07-09,5941,green,Boardings,NA
Saturday,2010-07-10,4076.5,green,Boardings,NA
Sunday,2010-07-11,3775.5,green,Boardings,NA
Monday,2010-07-12,4558,green,Boardings,NA
Tuesday,2010-07-13,5144.5,green,Boardings,NA
Wednesday,2010-07-14,4471,green,Boardings,NA
Thursday,2010-07-15,5256,green,Boardings,NA
Friday,2010-07-16,4994,green,Boardings,NA
Saturday,2010-07-17,5075.5,green,Boardings,NA
Sunday,2010-07-18,3376,green,Boardings,NA
Monday,2010-07-19,4532,green,Boardings,NA
Tuesday,2010-07-20,4473.5,green,Boardings,NA
Wednesday,2010-07-21,5312,green,Boardings,NA
Thursday,2010-07-22,5224.5,green,Boardings,NA
Friday,2010-07-23,6081,green,Boardings,NA
Saturday,2010-07-24,4449.5,green,Boardings,NA
Sunday,2010-07-25,3281.5,green,Boardings,NA
Monday,2010-07-26,5458.5,green,Boardings,NA
Tuesday,2010-07-27,5644.5,green,Boardings,NA
Wednesday,2010-07-28,5809,green,Boardings,NA
Thursday,2010-07-29,5280.5,green,Boardings,NA
Friday,2010-07-30,6617,green,Boardings,NA
Saturday,2010-07-31,5223,green,Boardings,NA
Sunday,2010-08-01,3746.5,green,Boardings,NA
Monday,2010-08-02,5011,green,Boardings,NA
Tuesday,2010-08-03,5267,green,Boardings,NA
Wednesday,2010-08-04,4936,green,Boardings,NA
Thursday,2010-08-05,5535,green,Boardings,NA
Friday,2010-08-06,6576.5,green,Boardings,NA
Saturday,2010-08-07,5535,green,Boardings,NA
Sunday,2010-08-08,3906,green,Boardings,NA
Monday,2010-08-09,4950.5,green,Boardings,NA
Tuesday,2010-08-10,4177,green,Boardings,NA
Wednesday,2010-08-11,5577,green,Boardings,NA
Thursday,2010-08-12,5256,green,Boardings,NA
Friday,2010-08-13,6900,green,Boardings,NA
Saturday,2010-08-14,5095,green,Boardings,NA
Sunday,2010-08-15,5279,green,Boardings,NA
Monday,2010-08-16,7030,green,Boardings,NA
Tuesday,2010-08-17,4980,green,Boardings,NA
Wednesday,2010-08-18,4484,green,Boardings,NA
Thursday,2010-08-19,4011,green,Boardings,NA
Friday,2010-08-20,5092,green,Boardings,NA
Saturday,2010-08-21,5185,green,Boardings,NA
Sunday,2010-08-22,4208,green,Boardings,NA
Monday,2010-08-23,5961,green,Boardings,NA
Tuesday,2010-08-24,6003,green,Boardings,NA
Wednesday,2010-08-25,4260,green,Boardings,NA
Thursday,2010-08-26,5420,green,Boardings,NA
Friday,2010-08-27,5050,green,Boardings,NA
Saturday,2010-08-28,4624,green,Boardings,NA
Sunday,2010-08-29,3587,green,Boardings,NA
Monday,2010-08-30,5594,green,Boardings,NA
Tuesday,2010-08-31,5665,green,Boardings,NA
Wednesday,2010-09-01,6191,green,Boardings,NA
Thursday,2010-09-02,6098,green,Boardings,NA
Friday,2010-09-03,6096,green,Boardings,NA
Saturday,2010-09-04,6396,green,Boardings,NA
Sunday,2010-09-05,4398,green,Boardings,NA
Monday,2010-09-06,4333,green,Boardings,NA
Tuesday,2010-09-07,5699,green,Boardings,NA
Wednesday,2010-09-08,5051,green,Boardings,NA
Thursday,2010-09-09,5030,green,Boardings,NA
Friday,2010-09-10,6180,green,Boardings,NA
Saturday,2010-09-11,4968,green,Boardings,NA
Sunday,2010-09-12,2762,green,Boardings,NA
Monday,2010-09-13,5134,green,Boardings,NA
Tuesday,2010-09-14,5019,green,Boardings,NA
Wednesday,2010-09-15,5177,green,Boardings,NA
Thursday,2010-09-16,4764,green,Boardings,NA
Friday,2010-09-17,5020,green,Boardings,NA
Saturday,2010-09-18,5885,green,Boardings,NA
Sunday,2010-09-19,3805,green,Boardings,NA
Monday,2010-09-20,5133,green,Boardings,NA
Tuesday,2010-09-21,4691,green,Boardings,NA
Wednesday,2010-09-22,4709,green,Boardings,NA
Thursday,2010-09-23,4936,green,Boardings,NA
Friday,2010-09-24,5694,green,Boardings,NA
Saturday,2010-09-25,5024,green,Boardings,NA
Sunday,2010-09-26,3525,green,Boardings,NA
Monday,2010-09-27,5163,green,Boardings,NA
Tuesday,2010-09-28,5618,green,Boardings,NA
Wednesday,2010-09-29,5220,green,Boardings,NA
Thursday,2010-09-30,4640,green,Boardings,NA
Friday,2010-10-01,7128,green,Boardings,NA
Saturday,2010-10-02,6018,green,Boardings,NA
Sunday,2010-10-03,3576,green,Boardings,NA
Monday,2010-10-04,4051,green,Boardings,NA
Tuesday,2010-10-05,4617,green,Boardings,NA
Wednesday,2010-10-06,5341,green,Boardings,NA
Thursday,2010-10-07,5473,green,Boardings,NA
Friday,2010-10-08,6439,green,Boardings,NA
Saturday,2010-10-09,5577.5,green,Boardings,NA
Sunday,2010-10-10,3574,green,Boardings,NA
Monday,2010-10-11,5459,green,Boardings,NA
Tuesday,2010-10-12,5502,green,Boardings,NA
Wednesday,2010-10-13,4579,green,Boardings,NA
Thursday,2010-10-14,4295,green,Boardings,NA
Friday,2010-10-15,5912,green,Boardings,NA
Saturday,2010-10-16,4119,green,Boardings,NA
Sunday,2010-10-17,3015,green,Boardings,NA
Monday,2010-10-18,4561.5,green,Boardings,NA
Tuesday,2010-10-19,5036.5,green,Boardings,NA
Wednesday,2010-10-20,5080,green,Boardings,NA
Thursday,2010-10-21,5594,green,Boardings,NA
Friday,2010-10-22,6693.5,green,Boardings,NA
Saturday,2010-10-23,5155.5,green,Boardings,NA
Sunday,2010-10-24,3909.5,green,Boardings,NA
Monday,2010-10-25,5752,green,Boardings,NA
Tuesday,2010-10-26,5688.5,green,Boardings,NA
Wednesday,2010-10-27,5683,green,Boardings,NA
Thursday,2010-10-28,5973.5,green,Boardings,NA
Friday,2010-10-29,5593.5,green,Boardings,NA
Saturday,2010-10-30,4936.5,green,Boardings,NA
Sunday,2010-10-31,3584.5,green,Boardings,NA
Monday,2010-11-01,4918,green,Boardings,NA
Tuesday,2010-11-02,4361.5,green,Boardings,NA
Wednesday,2010-11-03,4507,green,Boardings,NA
Thursday,2010-11-04,4087.5,green,Boardings,NA
Friday,2010-11-05,5484,green,Boardings,NA
Saturday,2010-11-06,4636.5,green,Boardings,NA
Sunday,2010-11-07,2795.5,green,Boardings,NA
Monday,2010-11-08,4535.5,green,Boardings,NA
Tuesday,2010-11-09,5052,green,Boardings,NA
Wednesday,2010-11-10,4987,green,Boardings,NA
Thursday,2010-11-11,4390,green,Boardings,NA
Friday,2010-11-12,6223.5,green,Boardings,NA
Saturday,2010-11-13,4906,green,Boardings,NA
Sunday,2010-11-14,2887.5,green,Boardings,NA
Monday,2010-11-15,4819.5,green,Boardings,NA
Tuesday,2010-11-16,4293,green,Boardings,NA
Wednesday,2010-11-17,4481.5,green,Boardings,NA
Thursday,2010-11-18,4876.5,green,Boardings,NA
Friday,2010-11-19,5905,green,Boardings,NA
Saturday,2010-11-20,4361,green,Boardings,NA
Sunday,2010-11-21,2802.5,green,Boardings,NA
Monday,2010-11-22,5121,green,Boardings,NA
Tuesday,2010-11-23,4800,green,Boardings,NA
Wednesday,2010-11-24,5368.5,green,Boardings,NA
Thursday,2010-11-25,0,green,Boardings,NA
Friday,2010-11-26,4489,green,Boardings,NA
Saturday,2010-11-27,4128.5,green,Boardings,NA
Sunday,2010-11-28,2669,green,Boardings,NA
Monday,2010-11-29,5105,green,Boardings,NA
Tuesday,2010-11-30,5136,green,Boardings,NA
Wednesday,2010-12-01,4846.5,green,Boardings,NA
Thursday,2010-12-02,5217,green,Boardings,NA
Friday,2010-12-03,6121,green,Boardings,NA
Saturday,2010-12-04,4962,green,Boardings,NA
Sunday,2010-12-05,3424,green,Boardings,NA
Monday,2010-12-06,4781,green,Boardings,NA
Tuesday,2010-12-07,4532.5,green,Boardings,NA
Wednesday,2010-12-08,4919.5,green,Boardings,NA
Thursday,2010-12-09,4432.5,green,Boardings,NA
Friday,2010-12-10,5246.5,green,Boardings,NA
Saturday,2010-12-11,4240.5,green,Boardings,NA
Sunday,2010-12-12,2249.5,green,Boardings,NA
Monday,2010-12-13,4531.5,green,Boardings,NA
Tuesday,2010-12-14,3766,green,Boardings,NA
Wednesday,2010-12-15,4333,green,Boardings,NA
Thursday,2010-12-16,4403.5,green,Boardings,NA
Friday,2010-12-17,4361,green,Boardings,NA
Saturday,2010-12-18,3255,green,Boardings,NA
Sunday,2010-12-19,2268.5,green,Boardings,NA
Monday,2010-12-20,4538.5,green,Boardings,NA
Tuesday,2010-12-21,4484.5,green,Boardings,NA
Wednesday,2010-12-22,4447,green,Boardings,NA
Thursday,2010-12-23,4479.5,green,Boardings,NA
Friday,2010-12-24,1674.5,green,Boardings,NA
Saturday,2010-12-25,0,green,Boardings,NA
Sunday,2010-12-26,0,green,Boardings,NA
Monday,2010-12-27,2744.5,green,Boardings,NA
Tuesday,2010-12-28,4203,green,Boardings,NA
Wednesday,2010-12-29,4351,green,Boardings,NA
Thursday,2010-12-30,4331.5,green,Boardings,NA
Friday,2010-12-31,4510.5,green,Boardings,NA
Saturday,2011-01-01,3082.5,green,Boardings,NA
Sunday,2011-01-02,2551.5,green,Boardings,NA
Monday,2011-01-03,4974,green,Boardings,NA
Tuesday,2011-01-04,4265,green,Boardings,NA
Wednesday,2011-01-05,4408.5,green,Boardings,NA
Thursday,2011-01-06,4563.5,green,Boardings,NA
Friday,2011-01-07,5008,green,Boardings,NA
Saturday,2011-01-08,3432.5,green,Boardings,NA
Sunday,2011-01-09,2276.5,green,Boardings,NA
Monday,2011-01-10,4909,green,Boardings,NA
Tuesday,2011-01-11,4624,green,Boardings,NA
Wednesday,2011-01-12,4102,green,Boardings,NA
Thursday,2011-01-13,4691.5,green,Boardings,NA
Friday,2011-01-14,5980.5,green,Boardings,NA
Saturday,2011-01-15,3450,green,Boardings,NA
Sunday,2011-01-16,2678,green,Boardings,NA
Monday,2011-01-17,3423.5,green,Boardings,NA
Tuesday,2011-01-18,3306,green,Boardings,NA
Wednesday,2011-01-19,4877,green,Boardings,NA
Thursday,2011-01-20,4246.5,green,Boardings,NA
Friday,2011-01-21,5096,green,Boardings,NA
Saturday,2011-01-22,3682,green,Boardings,NA
Sunday,2011-01-23,2228,green,Boardings,NA
Monday,2011-01-24,4204.5,green,Boardings,NA
Tuesday,2011-01-25,4428,green,Boardings,NA
Wednesday,2011-01-26,2959.5,green,Boardings,NA
Thursday,2011-01-27,2295,green,Boardings,NA
Friday,2011-01-28,4314,green,Boardings,NA
Saturday,2011-01-29,3260,green,Boardings,NA
Sunday,2011-01-30,2243.5,green,Boardings,NA
Monday,2011-01-31,3876.5,green,Boardings,NA
Tuesday,2011-02-01,3522,green,Boardings,NA
Wednesday,2011-02-02,3815,green,Boardings,NA
Thursday,2011-02-03,3745.5,green,Boardings,NA
Friday,2011-02-04,3699,green,Boardings,NA
Saturday,2011-02-05,2909.5,green,Boardings,NA
Sunday,2011-02-06,2288,green,Boardings,NA
Monday,2011-02-07,3201.5,green,Boardings,NA
Tuesday,2011-02-08,3215,green,Boardings,NA
Wednesday,2011-02-09,3644,green,Boardings,NA
Thursday,2011-02-10,3984.5,green,Boardings,NA
Friday,2011-02-11,5366,green,Boardings,NA
Saturday,2011-02-12,4468.5,green,Boardings,NA
Sunday,2011-02-13,2916,green,Boardings,NA
Monday,2011-02-14,4645.5,green,Boardings,NA
Tuesday,2011-02-15,4470.5,green,Boardings,NA
Wednesday,2011-02-16,4961,green,Boardings,NA
Thursday,2011-02-17,5662,green,Boardings,NA
Friday,2011-02-18,7375.5,green,Boardings,NA
Saturday,2011-02-19,4624,green,Boardings,NA
Sunday,2011-02-20,3568.5,green,Boardings,NA
Monday,2011-02-21,4067.5,green,Boardings,NA
Tuesday,2011-02-22,3989.5,green,Boardings,NA
Wednesday,2011-02-23,5413.5,green,Boardings,NA
Thursday,2011-02-24,5368.5,green,Boardings,NA
Friday,2011-02-25,6149.5,green,Boardings,NA
Saturday,2011-02-26,5826.5,green,Boardings,NA
Sunday,2011-02-27,3974.5,green,Boardings,NA
Monday,2011-02-28,5420,green,Boardings,NA
Tuesday,2011-03-01,5875.5,green,Boardings,NA
Wednesday,2011-03-02,5850,green,Boardings,NA
Thursday,2011-03-03,6076,green,Boardings,NA
Friday,2011-03-04,7550,green,Boardings,NA
Saturday,2011-03-05,5648.5,green,Boardings,NA
Sunday,2011-03-06,3285.5,green,Boardings,NA
Monday,2011-03-07,6312,green,Boardings,NA
Tuesday,2011-03-08,6945,green,Boardings,NA
Wednesday,2011-03-09,6418,green,Boardings,NA
Thursday,2011-03-10,4930,green,Boardings,NA
Friday,2011-03-11,7698.5,green,Boardings,NA
Saturday,2011-03-12,6436.5,green,Boardings,NA
Sunday,2011-03-13,2805,green,Boardings,NA
Monday,2011-03-14,6171,green,Boardings,NA
Tuesday,2011-03-15,6400,green,Boardings,NA
Wednesday,2011-03-16,6198.5,green,Boardings,NA
Thursday,2011-03-17,6430,green,Boardings,NA
Friday,2011-03-18,7831,green,Boardings,NA
Saturday,2011-03-19,6102.5,green,Boardings,NA
Sunday,2011-03-20,3560,green,Boardings,NA
Monday,2011-03-21,5801,green,Boardings,NA
Tuesday,2011-03-22,6333,green,Boardings,NA
Wednesday,2011-03-23,6071.5,green,Boardings,NA
Thursday,2011-03-24,6425.5,green,Boardings,NA
Friday,2011-03-25,8192,green,Boardings,NA
Saturday,2011-03-26,6277,green,Boardings,NA
Sunday,2011-03-27,3941.5,green,Boardings,NA
Monday,2011-03-28,6710,green,Boardings,NA
Tuesday,2011-03-29,7174,green,Boardings,NA
Wednesday,2011-03-30,6553.5,green,Boardings,NA
Thursday,2011-03-31,6405.5,green,Boardings,NA
Friday,2011-04-01,8081,green,Boardings,NA
Saturday,2011-04-02,6202.5,green,Boardings,NA
Sunday,2011-04-03,4294,green,Boardings,NA
Monday,2011-04-04,7899.5,green,Boardings,NA
Tuesday,2011-04-05,6360.5,green,Boardings,NA
Wednesday,2011-04-06,6964,green,Boardings,NA
Thursday,2011-04-07,7266,green,Boardings,NA
Friday,2011-04-08,6947,green,Boardings,NA
Saturday,2011-04-09,6157,green,Boardings,NA
Sunday,2011-04-10,4235.5,green,Boardings,NA
Monday,2011-04-11,7356.5,green,Boardings,NA
Tuesday,2011-04-12,6650.5,green,Boardings,NA
Wednesday,2011-04-13,6507.5,green,Boardings,NA
Thursday,2011-04-14,7068,green,Boardings,NA
Friday,2011-04-15,8643,green,Boardings,NA
Saturday,2011-04-16,3280.5,green,Boardings,NA
Sunday,2011-04-17,4932,green,Boardings,NA
Monday,2011-04-18,6649.5,green,Boardings,NA
Tuesday,2011-04-19,6855.5,green,Boardings,NA
Wednesday,2011-04-20,7641.5,green,Boardings,NA
