COUNTY,RATE,L95CL,U95CL,VISITS,FLAG,YEAR,GENDER,MEASURE,HEALTHOUTCOMEID,cofips
Archuleta,0,0,0,0,2,2014,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2015,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2015,Male,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2015,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2016,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2016,Male,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2016,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2017,Female,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2017,Male,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2017,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2018,Female,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2018,Male,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2018,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2019,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2019,Male,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2019,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2020,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2020,Male,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2020,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2021,Female,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2021,Male,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2021,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2022,Female,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2022,Male,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2022,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2023,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2023,Male,Age adjusted rate,Heat-related,08007
Archuleta,,,,,2,2023,Both genders,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2024,Female,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2024,Male,Age adjusted rate,Heat-related,08007
Archuleta,0,0,0,0,2,2024,Both genders,Age adjusted rate,Heat-related,08007
Baca,0,0,0,0,2,2011,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2011,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2011,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2012,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2012,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2012,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2013,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2013,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2013,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2014,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2014,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2014,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2015,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2015,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2015,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2016,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2016,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2016,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2017,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2017,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2017,Both genders,Age adjusted rate,Heat-related,08009
Baca,,,,,2,2018,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2018,Male,Age adjusted rate,Heat-related,08009
Baca,,,,,2,2018,Both genders,Age adjusted rate,Heat-related,08009
Baca,,,,,2,2019,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2019,Male,Age adjusted rate,Heat-related,08009
Baca,,,,,2,2019,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2020,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2020,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2020,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2021,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2021,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2021,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2022,Female,Age adjusted rate,Heat-related,08009
Baca,,,,,2,2022,Male,Age adjusted rate,Heat-related,08009
Baca,,,,,2,2022,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2023,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2023,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2023,Both genders,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2024,Female,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2024,Male,Age adjusted rate,Heat-related,08009
Baca,0,0,0,0,2,2024,Both genders,Age adjusted rate,Heat-related,08009
Bent,0,0,0,0,2,2011,Female,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2011,Male,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2011,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2012,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2012,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2012,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2013,Female,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2013,Male,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2013,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2014,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2014,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2014,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2015,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2015,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2015,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2016,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2016,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2016,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2017,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2017,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2017,Both genders,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2018,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2018,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2018,Both genders,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2019,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2019,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2019,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2020,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2020,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2020,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2021,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2021,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2021,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2022,Female,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2022,Male,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2022,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2023,Female,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2023,Male,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2023,Both genders,Age adjusted rate,Heat-related,08011
Bent,0,0,0,0,2,2024,Female,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2024,Male,Age adjusted rate,Heat-related,08011
Bent,,,,,2,2024,Both genders,Age adjusted rate,Heat-related,08011
Boulder,,,,,2,2011,Female,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2011,Male,Age adjusted rate,Heat-related,08013
Boulder,4.0324944,2.051285339,6.672074064,12,2,2011,Both genders,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2012,Female,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2012,Male,Age adjusted rate,Heat-related,08013
Boulder,4.084576918,2.154633228,6.621457028,13,2,2012,Both genders,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2013,Female,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2013,Male,Age adjusted rate,Heat-related,08013
Boulder,3.805833523,1.912843712,6.339047389,12,2,2013,Both genders,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2014,Female,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2014,Male,Age adjusted rate,Heat-related,08013
Boulder,6.290805955,3.715930757,9.53243481,19,2,2014,Both genders,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2015,Female,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2015,Male,Age adjusted rate,Heat-related,08013
Boulder,4.705928878,2.542380488,7.524524484,14,2,2015,Both genders,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2016,Female,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2016,Male,Age adjusted rate,Heat-related,08013
Boulder,5.649533901,3.303949713,8.614008049,18,2,2016,Both genders,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2017,Female,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2017,Male,Age adjusted rate,Heat-related,08013
Boulder,3.496953249,1.769814442,5.802354179,12,2,2017,Both genders,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2018,Female,Age adjusted rate,Heat-related,08013
Boulder,6.40985635,3.129601579,10.8461637,11,2,2018,Male,Age adjusted rate,Heat-related,08013
Boulder,5.088620315,2.960503786,7.783674301,18,2,2018,Both genders,Age adjusted rate,Heat-related,08013
Boulder,,,,,2,2019,Female,Age adjusted rate,Heat-related,08013
